Tid,coupon_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,Label,Results
10.42.0.151-111.221.77.173-43477-40010-17,coupon_115146,C126956,Female,24,Cosmetics,5,203.3,Cash,27-04-22,Metrocity,0,0
203.205.191.23-10.42.0.211-80-39636-6,coupon_883721,C236859,Female,44,Technology,5,5250.0,Credit Card,19-11-21,Mall of Istanbul,0,0
206.126.112.142-10.42.0.151-443-41347-6,coupon_402376,C309926,Male,34,Shoes,5,3000.85,Cash,10-09-22,Forum Istanbul,0,0
183.79.87.214-10.42.0.211-80-47894-6,coupon_251356,C493252,Female,47,Cosmetics,4,162.64,Cash,04-09-21,Kanyon,1,1
172.217.9.237-10.42.0.151-443-50294-6,coupon_292239,C109871,Male,38,Food & Beverage,5,26.15,Cash,21-08-22,Mall of Istanbul,0,0
10.42.0.211-31.13.80.12-48251-443-6,coupon_276526,C136117,Female,57,Shoes,5,3000.85,Debit Card,02-10-21,Emaar Square Mall,0,0
157.240.18.10-10.42.0.151-443-45229-6,coupon_260525,C258404,Male,67,Toys,3,107.52,Cash,07-01-23,Emaar Square Mall,0,0
10.42.0.1-10.42.0.42-53-22261-17,coupon_870944,C169749,Male,41,Souvenir,3,35.19,Credit Card,08-06-21,Cevahir AVM,1,1
192.229.173.173-10.42.0.211-443-46006-6,coupon_739573,C199947,Female,40,Clothing,5,1500.4,Debit Card,17-04-21,Kanyon,1,1
10.42.0.42-119.146.74.34-33080-80-6,coupon_115870,C135790,Female,69,Shoes,4,2400.68,Cash,04-09-21,Metrocity,1,1
198.11.132.221-10.42.0.211-443-58028-6,coupon_190444,C606418,Female,47,Food & Beverage,5,26.15,Cash,20-07-22,Mall of Istanbul,1,1
180.76.147.97-10.42.0.211-80-33252-6,coupon_309552,C111611,Female,53,Food & Beverage,4,20.92,Credit Card,14-07-21,Istinye Park,1,1
192.229.173.173-10.42.0.211-80-42632-6,coupon_306076,C679476,Male,40,Toys,2,71.68,Cash,01-11-22,Emaar Square Mall,1,1
10.42.0.151-10.42.0.1-23075-53-17,coupon_321683,C542025,Male,60,Cosmetics,4,162.64,Credit Card,06-01-23,Metrocity,0,0
10.42.0.211-10.42.0.1-55597-53-17,coupon_151332,C168491,Male,30,Souvenir,2,23.46,Cash,25-03-21,Kanyon,1,1
157.55.130.155-10.42.0.42-40008-46360-17,coupon_340014,C169650,Female,66,Clothing,2,600.16,Credit Card,08-09-22,Istinye Park,0,0
172.217.10.74-10.42.0.42-443-44597-6,coupon_249424,C158160,Male,22,Food & Beverage,1,5.23,Cash,18-02-22,Mall of Istanbul,0,0
172.217.10.34-10.42.0.211-443-35717-6,coupon_227716,C552345,Male,53,Food & Beverage,2,10.46,Cash,22-04-21,Kanyon,0,0
172.217.10.46-10.42.0.151-80-40835-6,coupon_140663,C218383,Female,52,Clothing,5,1500.4,Cash,15-10-22,Zorlu Center,0,0
10.42.0.151-10.42.0.1-50568-53-17,coupon_253242,C309438,Male,26,Shoes,5,3000.85,Cash,07-04-22,Mall of Istanbul,1,1
10.42.0.211-47.89.67.224-34715-80-6,coupon_108359,C253905,Male,66,Food & Beverage,1,5.23,Cash,07-06-22,Mall of Istanbul,1,1
10.42.0.211-10.42.0.1-27847-53-17,coupon_195567,C992677,Male,65,Clothing,4,1200.32,Debit Card,22-01-23,Metropol AVM,0,0
182.22.120.247-10.42.0.42-443-57662-6,coupon_289643,C584700,Female,43,Technology,2,2100.0,Cash,22-08-22,Kanyon,1,1
10.42.0.211-14.204.144.144-38591-80-6,coupon_722319,C157070,Female,59,Toys,1,35.84,Debit Card,03-10-21,Kanyon,0,0
10.42.0.211-23.208.168.108-49627-443-6,coupon_317105,C177975,Female,30,Souvenir,5,58.65,Debit Card,29-07-21,Kanyon,1,1
180.76.147.97-10.42.0.211-80-54508-6,coupon_215721,C830576,Female,25,Cosmetics,2,81.32,Debit Card,16-12-22,Metrocity,1,1
10.42.0.151-13.32.251.254-35865-443-6,coupon_154469,C807389,Female,29,Toys,3,107.52,Debit Card,03-06-21,Mall of Istanbul,1,1
10.42.0.211-10.42.0.1-33680-53-17,coupon_172458,C277842,Female,19,Clothing,2,600.16,Debit Card,17-12-21,Cevahir AVM,0,0
172.217.12.133-10.42.0.42-443-53440-6,coupon_297270,C183011,Male,62,Clothing,5,1500.4,Credit Card,31-12-22,Metropol AVM,1,1
10.42.0.211-77.234.44.79-38642-443-6,coupon_153930,C567813,Male,39,Food & Beverage,3,15.69,Cash,09-08-22,Forum Istanbul,1,1
10.42.0.151-104.254.66.16-40573-80-6,coupon_282854,C282974,Female,33,Clothing,3,900.24,Cash,31-07-22,Kanyon,1,1
172.217.6.202-10.42.0.42-443-53633-6,coupon_869144,C181972,Female,26,Food & Beverage,4,20.92,Debit Card,04-05-21,Mall of Istanbul,1,1
10.42.0.211-72.21.206.141-59717-443-6,coupon_283443,C189493,Male,43,Technology,3,3150.0,Credit Card,25-05-22,Viaport Outlet,0,0
10.42.0.42-119.146.74.34-37722-80-6,coupon_193271,C242748,Female,40,Food & Beverage,3,15.69,Debit Card,23-12-22,Kanyon,1,1
192.229.173.173-10.42.0.211-80-39995-6,coupon_985478,C324683,Male,55,Clothing,4,1200.32,Credit Card,24-01-23,Kanyon,0,0
10.42.0.1-10.42.0.42-53-62311-17,coupon_200392,C307921,Female,24,Clothing,5,1500.4,Credit Card,14-09-21,Viaport Outlet,0,0
10.42.0.211-123.125.115.164-54410-443-6,coupon_796162,C111832,Female,30,Food & Beverage,5,26.15,Credit Card,06-01-22,Metrocity,0,0
10.42.0.211-104.88.89.135-34552-443-6,coupon_224371,C204174,Male,34,Clothing,5,1500.4,Credit Card,01-02-22,Mall of Istanbul,0,0
203.205.147.229-10.42.0.42-80-54472-6,coupon_215998,C279370,Female,64,Clothing,5,1500.4,Cash,26-10-22,Cevahir AVM,0,0
172.217.10.74-10.42.0.151-443-57211-6,coupon_338966,C907582,Female,57,Clothing,5,1500.4,Cash,21-09-22,Mall of Istanbul,0,0
10.42.0.211-31.13.71.7-49081-443-6,coupon_149688,C276043,Female,26,Clothing,4,1200.32,Cash,21-08-21,Zorlu Center,0,0
1.31.173.114-10.42.0.151-80-41267-6,coupon_109649,C282643,Female,19,Food & Beverage,3,15.69,Debit Card,08-10-21,Emaar Square Mall,0,0
10.42.0.151-66.102.255.61-46394-443-6,coupon_299820,C820515,Female,22,Books,3,45.45,Cash,22-11-21,Kanyon,1,1
10.42.0.151-104.244.43.131-57198-443-6,coupon_157775,C331761,Male,48,Clothing,1,300.08,Cash,19-03-22,Kanyon,0,0
5.61.39.3-10.42.0.42-80-38286-6,coupon_317140,C326893,Female,56,Souvenir,5,58.65,Cash,19-10-22,Istinye Park,1,1
10.42.0.1-10.42.0.42-53-7085-17,coupon_147334,C306395,Male,35,Clothing,2,600.16,Cash,12-01-22,Viaport Outlet,1,1
10.42.0.151-23.208.168.108-34119-443-6,coupon_278121,C885344,Female,60,Toys,4,143.36,Debit Card,07-06-21,Metrocity,1,1
172.217.9.238-10.42.0.151-443-36149-6,coupon_134452,C112750,Female,32,Clothing,1,300.08,Credit Card,15-01-23,Forum Istanbul,0,0
10.42.0.211-121.12.98.63-46626-80-6,coupon_320846,C274870,Male,27,Clothing,4,1200.32,Credit Card,11-11-21,Kanyon,0,0
172.217.10.225-10.42.0.211-443-59051-6,coupon_740676,C199864,Female,56,Clothing,2,600.16,Credit Card,21-09-22,Istinye Park,0,0
172.217.10.106-10.42.0.151-443-49931-6,coupon_142331,C997380,Male,35,Cosmetics,4,162.64,Debit Card,30-05-21,Metrocity,0,0
180.149.136.194-10.42.0.211-443-60201-6,coupon_222983,C132002,Female,68,Clothing,1,300.08,Credit Card,23-12-21,Metropol AVM,0,0
182.22.24.124-10.42.0.211-443-33029-6,coupon_164665,C255058,Female,64,Technology,2,2100.0,Cash,30-04-22,Kanyon,1,1
172.217.6.206-10.42.0.151-443-45028-6,coupon_133387,C271799,Female,60,Toys,4,143.36,Cash,07-06-21,Forum Istanbul,0,0
173.222.142.156-10.42.0.211-443-55024-6,coupon_276763,C765620,Male,64,Toys,5,179.2,Debit Card,21-02-22,Kanyon,0,0
10.42.0.211-10.42.0.1-23634-53-17,coupon_273890,C891545,Female,41,Clothing,3,900.24,Debit Card,26-08-21,Emaar Square Mall,1,1
10.42.0.151-52.192.237.93-60548-443-6,coupon_774221,C519513,Male,30,Food & Beverage,5,26.15,Cash,15-12-21,Metrocity,0,0
192.229.173.173-10.42.0.42-80-43053-6,coupon_202171,C125624,Male,40,Clothing,1,300.08,Debit Card,20-02-21,Mall of Istanbul,1,1
202.77.129.150-10.42.0.42-80-36065-6,coupon_219780,C658980,Female,29,Clothing,2,600.16,Cash,08-10-21,Kanyon,1,1
157.240.2.20-10.42.0.42-443-46650-6,coupon_160221,C319231,Male,25,Clothing,3,900.24,Cash,01-08-22,Mall of Istanbul,1,1
10.42.0.211-10.42.0.1-33059-53-17,coupon_106691,C150594,Female,60,Clothing,4,1200.32,Cash,09-09-21,Kanyon,1,1
10.42.0.151-10.42.0.1-1434-53-17,coupon_129886,C846730,Female,42,Food & Beverage,5,26.15,Cash,25-10-21,Metrocity,1,1
202.77.129.54-10.42.0.211-80-57541-6,coupon_745394,C249877,Male,54,Food & Beverage,1,5.23,Cash,14-12-21,Metropol AVM,1,1
174.35.73.78-10.42.0.211-80-34812-6,coupon_157056,C200826,Female,50,Clothing,5,1500.4,Cash,20-06-21,Kanyon,0,0
10.42.0.211-31.13.80.5-57876-443-6,coupon_304531,C263874,Male,54,Clothing,1,300.08,Debit Card,07-04-21,Metropol AVM,0,0
172.217.12.195-10.42.0.42-443-43072-6,coupon_762439,C663463,Female,45,Books,4,60.6,Cash,05-12-21,Metrocity,0,0
172.217.10.8-10.42.0.211-443-32989-6,coupon_300972,C134370,Female,40,Cosmetics,1,40.66,Credit Card,25-05-21,Zorlu Center,1,1
10.42.0.151-104.244.42.2-33823-443-6,coupon_151588,C310642,Male,24,Books,3,45.45,Credit Card,12-04-22,Metrocity,0,0
172.217.10.131-10.42.0.42-443-46328-6,coupon_657069,C651699,Male,40,Clothing,4,1200.32,Cash,16-12-21,Mall of Istanbul,1,1
10.42.0.151-10.42.0.1-34290-53-17,coupon_122655,C989693,Female,32,Technology,2,2100.0,Credit Card,21-02-21,Metropol AVM,1,1
162.208.22.39-10.42.0.211-443-45091-6,coupon_236914,C123581,Female,28,Clothing,3,900.24,Cash,26-10-21,Mall of Istanbul,0,0
10.42.0.211-10.42.0.1-32862-53-17,coupon_247471,C192446,Female,22,Toys,1,35.84,Cash,18-12-22,Mall of Istanbul,0,0
172.217.10.78-10.42.0.151-443-48810-6,coupon_362306,C143343,Female,21,Clothing,1,300.08,Credit Card,19-09-22,Metrocity,1,1
10.42.0.211-10.42.0.1-8169-53-17,coupon_215279,C223343,Female,31,Clothing,2,600.16,Credit Card,01-02-23,Kanyon,0,0
10.42.0.151-10.42.0.1-24343-53-17,coupon_216061,C309082,Female,61,Food & Beverage,3,15.69,Credit Card,05-10-22,Mall of Istanbul,0,0
172.217.3.106-10.42.0.211-443-51428-6,coupon_246375,C236365,Female,67,Cosmetics,2,81.32,Cash,28-11-21,Kanyon,1,1
202.77.129.185-10.42.0.211-80-46571-6,coupon_103596,C178734,Male,52,Shoes,5,3000.85,Cash,03-08-21,Kanyon,1,1
10.42.0.151-65.55.223.45-43477-40024-17,coupon_259878,C223010,Male,44,Clothing,4,1200.32,Credit Card,12-10-22,Metropol AVM,0,0
10.42.0.211-10.42.0.1-52343-53-17,coupon_206422,C289933,Female,48,Food & Beverage,2,10.46,Credit Card,28-09-22,Kanyon,0,0
10.42.0.151-115.239.210.141-53923-80-6,coupon_201704,C340116,Female,53,Food & Beverage,3,15.69,Cash,12-07-21,Metrocity,0,0
10.42.0.211-10.42.0.1-23875-53-17,coupon_168037,C816586,Male,27,Toys,4,143.36,Cash,03-07-21,Mall of Istanbul,1,1
172.217.5.228-10.42.0.42-443-47064-6,coupon_259196,C215384,Female,43,Toys,4,143.36,Credit Card,17-05-22,Cevahir AVM,0,0
172.217.6.234-10.42.0.151-443-44037-6,coupon_141241,C143442,Male,54,Souvenir,5,58.65,Credit Card,11-04-22,Kanyon,0,0
172.217.3.98-10.42.0.151-443-33992-6,coupon_289973,C102926,Male,41,Food & Beverage,5,26.15,Credit Card,22-10-21,Kanyon,1,1
172.217.9.234-10.42.0.42-443-48253-6,coupon_147203,C340063,Female,59,Cosmetics,5,203.3,Cash,20-12-21,Istinye Park,1,1
10.42.0.151-52.84.29.154-34134-443-6,coupon_323788,C131786,Female,32,Clothing,1,300.08,Credit Card,17-03-22,Metropol AVM,0,0
172.217.10.42-10.42.0.211-443-59949-6,coupon_285454,C194380,Female,41,Souvenir,5,58.65,Credit Card,23-06-22,Metropol AVM,0,0
151.101.1.134-10.42.0.151-443-35328-6,coupon_288152,C269623,Female,30,Technology,3,3150.0,Debit Card,19-06-21,Mall of Istanbul,1,1
10.42.0.211-10.42.0.1-44569-53-17,coupon_134126,C847171,Male,22,Clothing,1,300.08,Debit Card,30-08-22,Istinye Park,1,1
10.42.0.42-52.84.29.154-42492-443-6,coupon_311052,C556552,Female,51,Clothing,4,1200.32,Cash,20-11-21,Cevahir AVM,0,0
182.22.25.124-10.42.0.211-443-54091-6,coupon_176469,C876528,Female,23,Food & Beverage,2,10.46,Credit Card,31-07-21,Viaport Outlet,0,0
10.42.0.211-10.42.0.1-33843-53-17,coupon_167993,C303493,Male,40,Toys,2,71.68,Cash,20-02-22,Kanyon,1,1
202.77.129.150-10.42.0.42-443-41982-6,coupon_222086,C978718,Male,37,Clothing,5,1500.4,Cash,09-02-23,Emaar Square Mall,0,0
172.217.10.42-10.42.0.211-443-34490-6,coupon_164597,C111766,Female,24,Clothing,1,300.08,Cash,24-03-21,Mall of Istanbul,1,1
174.35.73.136-10.42.0.211-80-53789-6,coupon_184307,C175946,Male,22,Food & Beverage,1,5.23,Credit Card,25-08-22,Kanyon,1,1
10.42.0.211-123.125.29.220-57922-80-6,coupon_289905,C160005,Female,61,Cosmetics,4,162.64,Cash,21-10-21,Kanyon,1,1
10.42.0.211-77.234.42.92-41131-443-6,coupon_416544,C599109,Female,25,Food & Beverage,2,10.46,Credit Card,28-05-22,Metrocity,0,0
10.42.0.151-10.42.0.1-51226-53-17,coupon_601026,C693789,Female,66,Souvenir,5,58.65,Credit Card,05-03-22,Zorlu Center,0,0
172.217.11.10-10.42.0.211-443-36099-6,coupon_257890,C259342,Female,59,Shoes,1,600.17,Cash,05-10-21,Kanyon,1,1
169.55.67.234-10.42.0.151-443-55019-6,coupon_260028,C208108,Male,38,Clothing,4,1200.32,Cash,16-04-21,Metropol AVM,0,0
175.100.207.232-10.42.0.151-80-40340-6,coupon_170160,C244213,Male,34,Toys,2,71.68,Debit Card,26-02-23,Metrocity,1,1
180.149.153.68-10.42.0.211-80-41673-6,coupon_624164,C102685,Female,26,Clothing,1,300.08,Cash,20-03-21,Kanyon,1,1
10.42.0.1-10.42.0.42-53-31870-17,coupon_143353,C244291,Female,59,Souvenir,5,58.65,Cash,15-05-22,Metrocity,1,1
10.42.0.211-10.42.0.1-56549-53-17,coupon_278401,C162371,Female,53,Toys,1,35.84,Debit Card,31-01-23,Mall of Istanbul,0,0
10.42.0.211-36.248.26.152-59352-80-6,coupon_402966,C375422,Male,23,Cosmetics,4,162.64,Debit Card,02-10-21,Viaport Outlet,1,1
10.42.0.151-121.12.98.64-59125-80-6,coupon_244241,C911768,Female,23,Clothing,5,1500.4,Credit Card,03-08-22,Viaport Outlet,1,1
172.217.12.161-10.42.0.211-443-41543-6,coupon_179048,C270129,Female,66,Technology,3,3150.0,Debit Card,28-03-21,Cevahir AVM,0,0
172.217.11.14-10.42.0.151-443-39681-6,coupon_165202,C617189,Female,56,Cosmetics,4,162.64,Cash,21-11-22,Mall of Istanbul,0,0
10.42.0.211-10.42.0.1-8519-53-17,coupon_328321,C271029,Female,38,Souvenir,2,23.46,Credit Card,12-02-21,Metropol AVM,0,0
10.42.0.42-23.217.155.120-47349-80-6,coupon_417106,C292356,Male,28,Clothing,3,900.24,Cash,03-04-21,Cevahir AVM,0,0
10.42.0.151-104.244.42.129-58717-443-6,coupon_248153,C329633,Female,44,Food & Beverage,1,5.23,Cash,03-07-22,Metropol AVM,1,1
10.42.0.211-10.42.0.1-54833-53-17,coupon_112270,C244780,Female,26,Food & Beverage,4,20.92,Cash,14-02-21,Mall of Istanbul,1,1
198.11.188.75-10.42.0.151-443-46811-6,coupon_318831,C139568,Female,41,Cosmetics,4,162.64,Credit Card,15-07-22,Viaport Outlet,1,1
206.126.112.142-10.42.0.151-443-45059-6,coupon_258322,C220281,Male,50,Clothing,4,1200.32,Cash,12-07-21,Viaport Outlet,1,1
172.217.6.206-10.42.0.211-443-45107-6,coupon_334246,C311034,Female,23,Cosmetics,3,121.98,Cash,19-05-22,Mall of Istanbul,1,1
10.42.0.211-112.73.28.70-52293-80-6,coupon_198233,C584141,Female,31,Cosmetics,4,162.64,Cash,13-02-23,Metropol AVM,1,1
10.42.0.151-23.194.181.192-55810-443-6,coupon_310819,C221934,Male,26,Cosmetics,5,203.3,Credit Card,27-11-22,Forum Istanbul,0,0
182.254.5.234-10.42.0.211-80-47324-6,coupon_409288,C513561,Female,56,Food & Beverage,3,15.69,Cash,02-03-21,Viaport Outlet,1,1
10.42.0.42-108.174.10.10-55568-443-6,coupon_149521,C168348,Female,29,Clothing,2,600.16,Cash,04-11-21,Kanyon,1,1
10.42.0.1-10.42.0.42-53-1185-17,coupon_156233,C161285,Female,20,Clothing,1,300.08,Credit Card,11-01-23,Mall of Istanbul,1,1
